epoch,step,train_acc,train_loss,val_acc,val_loss
0,36,,,0.5890411138534546,0.7054852247238159
0,36,0.5403087735176086,0.8271380662918091,,
1,73,,,0.6164383292198181,0.7397792935371399
1,73,0.5608919262886047,0.8080107569694519,,
2,110,,,0.6301369667053223,0.6827701330184937
2,110,0.5060034394264221,0.7841359972953796,,
3,147,,,0.6575342416763306,0.6742632389068604
3,147,0.5111492276191711,0.7319519519805908,,
4,184,,,0.6575342416763306,0.692639172077179
4,184,0.5557461380958557,0.7026128172874451,,
5,221,,,0.6575342416763306,0.6972030997276306
5,221,0.5677530169487,0.6950604319572449,,
6,258,,,0.6712328791618347,0.6822085976600647
6,258,0.5540308952331543,0.6994431614875793,,
7,295,,,0.5068492889404297,0.6856125593185425
7,295,0.5231561064720154,0.7174737453460693,,
8,332,,,0.39726027846336365,0.7464497089385986
8,332,0.5746140480041504,0.7175872921943665,,
9,369,,,0.42465752363204956,0.8283546566963196
9,369,0.5248713493347168,0.7373814582824707,,
10,406,,,0.42465752363204956,0.827106773853302
10,406,0.5591766834259033,0.7222484350204468,,
11,443,,,0.4109589159488678,0.7235713005065918
11,443,0.531732439994812,0.707733690738678,,
12,480,,,0.4383561611175537,0.7272169589996338
12,480,0.5608919262886047,0.7084563374519348,,
13,517,,,0.5068492889404297,0.6919839382171631
13,517,0.5746140480041504,0.6794276833534241,,
14,554,,,0.465753436088562,0.6909506320953369
14,554,0.5471698045730591,0.683962345123291,,
15,591,,,0.45205479860305786,0.6916975975036621
15,591,0.5694682598114014,0.6776644587516785,,
16,628,,,0.534246563911438,0.6884051561355591
16,628,0.5351629257202148,0.6846078038215637,,
17,665,,,0.534246563911438,0.6813738346099854
17,665,0.5643224716186523,0.6770390868186951,,
18,702,,,0.5890411138534546,0.6705493927001953
18,702,0.5231561064720154,0.6939877271652222,,
19,739,,,0.534246563911438,0.6657209992408752
19,739,0.5471698045730591,0.6951884031295776,,
20,776,,,0.6438356041908264,0.663666844367981
20,776,0.5660377144813538,0.6906459927558899,,
21,813,,,0.6301369667053223,0.6735482811927795
21,813,0.5900514721870422,0.6825488805770874,,
22,850,,,0.6438356041908264,0.6539051532745361
22,850,0.5849056839942932,0.674796998500824,,
23,887,,,0.5890411138534546,0.6634661555290222
23,887,0.6140651702880859,0.6614410281181335,,
24,924,,,0.6575342416763306,0.6564552187919617
24,924,0.5763293504714966,0.6731575727462769,,
25,961,,,0.6575342416763306,0.655982494354248
25,961,0.6209262609481812,0.646744430065155,,
26,998,,,0.6438356041908264,0.6553770303726196
26,998,0.6054888367652893,0.6686381101608276,,
27,1035,,,0.6575342416763306,0.6605735421180725
27,1035,0.5969125032424927,0.6567689776420593,,
28,1072,,,0.6849315166473389,0.6631177067756653
28,1072,0.572898805141449,0.6746006011962891,,
29,1109,,,0.4794520437717438,0.7043941020965576
29,1109,0.5934820175170898,0.6832866668701172,,
30,1146,,,0.6712328791618347,0.6774879693984985
30,1146,0.6037735939025879,0.6708991527557373,,
31,1183,,,0.6712328791618347,0.6358929872512817
31,1183,0.6089193820953369,0.6606307029724121,,
32,1220,,,0.698630154132843,0.6284631490707397
32,1220,0.5608919262886047,0.6749011278152466,,
33,1257,,,0.5753424763679504,0.6443955898284912
33,1257,0.6020582914352417,0.6651386618614197,,
34,1294,,,0.7260273694992065,0.6349546313285828
34,1294,0.6140651702880859,0.6589142680168152,,
35,1331,,,0.7123287916183472,0.6385650038719177
35,1331,0.6518010497093201,0.6382097601890564,,
36,1368,,,0.698630154132843,0.6373950242996216
36,1368,0.6466552019119263,0.649990439414978,,
37,1405,,,0.698630154132843,0.6455034017562866
37,1405,0.6518010497093201,0.6350557804107666,,
38,1442,,,0.6301369667053223,0.6444152593612671
38,1442,0.6089193820953369,0.6529123187065125,,
39,1479,,,0.6301369667053223,0.6866540312767029
39,1479,0.6329330801963806,0.6556192636489868,,
40,1516,,,0.6301369667053223,0.6541466116905212
40,1516,0.6003430485725403,0.6665646433830261,,
41,1553,,,0.7397260069847107,0.6508181691169739
41,1553,0.5677530169487,0.6766188740730286,,
42,1590,,,0.6712328791618347,0.6384431719779968
42,1590,0.6346483826637268,0.6480965614318848,,
43,1627,,,0.6438356041908264,0.6151455640792847
43,1627,0.6569468379020691,0.632109522819519,,
44,1664,,,0.7123287916183472,0.6187894940376282
44,1664,0.6174957156181335,0.6399984955787659,,
45,1701,,,0.7123287916183472,0.6178128719329834
45,1701,0.6277872920036316,0.6361148953437805,,
46,1738,,,0.7123287916183472,0.6186011433601379
46,1738,0.6329330801963806,0.6359795928001404,,
47,1775,,,0.7260273694992065,0.614289402961731
47,1775,0.6277872920036316,0.6411657929420471,,
48,1812,,,0.698630154132843,0.6225447654724121
48,1812,0.6329330801963806,0.6379162669181824,,
49,1849,,,0.6438356041908264,0.6302051544189453
49,1849,0.5934820175170898,0.6433413028717041,,
50,1886,,,0.698630154132843,0.6191575527191162
50,1886,0.619210958480835,0.6586064100265503,,
51,1923,,,0.6438356041908264,0.6597071886062622
51,1923,0.6209262609481812,0.6399412155151367,,
52,1960,,,0.7260273694992065,0.6279354095458984
52,1960,0.6020582914352417,0.6515687108039856,,
53,1997,,,0.7123287916183472,0.6250917315483093
53,1997,0.6518010497093201,0.6488438844680786,,
54,2034,,,0.7260273694992065,0.6202492117881775
54,2034,0.6672384142875671,0.6221653819084167,,
55,2071,,,0.7397260069847107,0.6234560608863831
55,2071,0.6620926260948181,0.6286932826042175,,
56,2108,,,0.7534246444702148,0.6209478974342346
56,2108,0.6535162925720215,0.6287626624107361,,
57,2145,,,0.7397260069847107,0.6181789636611938
57,2145,0.6586620807647705,0.6353320479393005,,
58,2182,,,0.6849315166473389,0.6111292839050293
58,2182,0.6638078689575195,0.6123067736625671,,
59,2219,,,0.6712328791618347,0.6653639078140259
59,2219,0.6723842024803162,0.6147964596748352,,
60,2256,,,0.6712328791618347,0.6382189989089966
60,2256,0.6329330801963806,0.6357579231262207,,
61,2293,,,0.6438356041908264,0.6310194730758667
61,2293,0.619210958480835,0.6387511491775513,,
62,2330,,,0.5890411138534546,0.6522271633148193
62,2330,0.6260720491409302,0.636487603187561,,
63,2367,,,0.6438356041908264,0.6361314058303833
63,2367,0.6586620807647705,0.6327242851257324,,
64,2404,,,0.6712328791618347,0.6237583160400391
64,2404,0.6775299906730652,0.6265248656272888,,
65,2441,,,0.698630154132843,0.6228123307228088
65,2441,0.6655231714248657,0.6191942095756531,,
66,2478,,,0.6712328791618347,0.6220094561576843
66,2478,0.6586620807647705,0.6168200969696045,,
67,2515,,,0.698630154132843,0.6217525005340576
67,2515,0.6723842024803162,0.6239370703697205,,
68,2552,,,0.7123287916183472,0.6215343475341797
68,2552,0.6706689596176147,0.624745786190033,,
69,2589,,,0.6027397513389587,0.667945384979248
69,2589,0.6758147478103638,0.6111581921577454,,
70,2626,,,0.6712328791618347,0.6416739225387573
70,2626,0.6792452931404114,0.617351770401001,,
71,2663,,,0.4383561611175537,0.7213028073310852
71,2663,0.6380789279937744,0.6341754794120789,,
72,2700,,,0.6575342416763306,0.6573156714439392
72,2700,0.6603773832321167,0.6360710859298706,,
73,2737,,,0.6438356041908264,0.6589195728302002
73,2737,0.6620926260948181,0.6277109980583191,,
74,2774,,,0.6164383292198181,0.6396055221557617
74,2774,0.6466552019119263,0.6297841668128967,,
75,2811,,,0.5890411138534546,0.647580623626709
75,2811,0.6655231714248657,0.6132627725601196,,
76,2848,,,0.6164383292198181,0.6388119459152222
76,2848,0.6792452931404114,0.6156489253044128,,
77,2885,,,0.6575342416763306,0.6342160105705261
77,2885,0.6843910813331604,0.6087687611579895,,
78,2922,,,0.6301369667053223,0.6257326602935791
78,2922,0.6775299906730652,0.6069239974021912,,
79,2959,,,0.4109589159488678,0.7469879388809204
79,2959,0.6500857472419739,0.6329210996627808,,
80,2996,,,0.6301369667053223,0.6281291246414185
80,2996,0.6552315354347229,0.6275210976600647,,
81,3033,,,0.6301369667053223,0.682852566242218
81,3033,0.6655231714248657,0.6216727495193481,,
82,3070,,,0.6301369667053223,0.6456146240234375
82,3070,0.6723842024803162,0.6234837770462036,,
83,3107,,,0.6438356041908264,0.6455865502357483
83,3107,0.6655231714248657,0.6180952191352844,,
84,3144,,,0.6164383292198181,0.6566227674484253
84,3144,0.682675838470459,0.6140262484550476,,
85,3181,,,0.6301369667053223,0.6581138968467712
85,3181,0.6723842024803162,0.6223341226577759,,
86,3218,,,0.6164383292198181,0.6577169299125671
86,3218,0.6586620807647705,0.623598039150238,,
87,3255,,,0.6575342416763306,0.6554718017578125
87,3255,0.6689537167549133,0.6153122782707214,,
88,3292,,,0.6575342416763306,0.6519924998283386
88,3292,0.6706689596176147,0.6243596076965332,,
89,3329,,,0.6301369667053223,0.6677819490432739
89,3329,0.698113203048706,0.6105249524116516,,
90,3366,,,0.6164383292198181,0.6778126358985901
90,3366,0.6775299906730652,0.6082553267478943,,
91,3403,,,0.6027397513389587,0.6799017190933228
91,3403,0.6706689596176147,0.614267885684967,,
92,3440,,,0.6027397513389587,0.6915615797042847
92,3440,0.6569468379020691,0.6227607727050781,,
93,3477,,,0.5205479264259338,0.6872088313102722
93,3477,0.682675838470459,0.6242330074310303,,
94,3514,,,0.6301369667053223,0.6641867160797119
94,3514,0.6655231714248657,0.6198099255561829,,
95,3551,,,0.6027397513389587,0.6698271632194519
95,3551,0.6672384142875671,0.6146246790885925,,
96,3588,,,0.6849315166473389,0.6646086573600769
96,3588,0.6775299906730652,0.6134008169174194,,
97,3625,,,0.6849315166473389,0.6643519401550293
97,3625,0.7152658700942993,0.602213978767395,,
98,3662,,,0.698630154132843,0.6657261252403259
98,3662,0.692967414855957,0.6088992953300476,,
99,3699,,,0.6164383292198181,0.6697911024093628
99,3699,0.6843910813331604,0.6038963794708252,,
100,3736,,,0.698630154132843,0.6620239615440369
100,3736,0.6912521719932556,0.6003139019012451,,
101,3773,,,0.6164383292198181,0.6650909781455994
101,3773,0.7015437483787537,0.6045072674751282,,
102,3810,,,0.6438356041908264,0.6678857207298279
102,3810,0.6758147478103638,0.6213462352752686,,
103,3847,,,0.6301369667053223,0.6803403496742249
103,3847,0.6775299906730652,0.6256923079490662,,
104,3884,,,0.7260273694992065,0.6484526991844177
104,3884,0.6912521719932556,0.6159743666648865,,
105,3921,,,0.6712328791618347,0.6441311836242676
105,3921,0.6963979601860046,0.6143395900726318,,
106,3958,,,0.5616438388824463,0.652955174446106
106,3958,0.6792452931404114,0.6174125075340271,,
107,3995,,,0.5753424763679504,0.6499637961387634
107,3995,0.7015437483787537,0.6022899150848389,,
108,4032,,,0.6438356041908264,0.646942138671875
108,4032,0.7186964154243469,0.598192036151886,,
109,4069,,,0.6575342416763306,0.6493646502494812
109,4069,0.7015437483787537,0.5961987376213074,,
110,4106,,,0.6712328791618347,0.6446724534034729
110,4106,0.7049742937088013,0.6030579209327698,,
111,4143,,,0.6575342416763306,0.6574123501777649
111,4143,0.6775299906730652,0.6153385043144226,,
112,4180,,,0.6164383292198181,0.6702315211296082
112,4180,0.6861063241958618,0.6149152517318726,,
113,4217,,,0.5890411138534546,0.6922791600227356
113,4217,0.6775299906730652,0.6073824167251587,,
114,4254,,,0.6438356041908264,0.667974591255188
114,4254,0.6792452931404114,0.6116189360618591,,
115,4291,,,0.5479452013969421,0.6786683201789856
115,4291,0.687821626663208,0.6038665175437927,,
116,4328,,,0.6164383292198181,0.6756497621536255
116,4328,0.7101200819015503,0.5958696007728577,,
117,4365,,,0.6575342416763306,0.6762359142303467
117,4365,0.698113203048706,0.5993975400924683,,
118,4402,,,0.6575342416763306,0.6753088235855103
118,4402,0.6912521719932556,0.6026763916015625,,
119,4439,,,0.6712328791618347,0.6718412637710571
119,4439,0.7495712041854858,0.5764923095703125,,
120,4476,,,0.5753424763679504,0.6672371625900269
120,4476,0.6963979601860046,0.6042926907539368,,
121,4513,,,0.6301369667053223,0.6826236248016357
121,4513,0.6740995049476624,0.6030464768409729,,
122,4550,,,0.6164383292198181,0.6784247756004333
122,4550,0.6843910813331604,0.6020331382751465,,
123,4587,,,0.534246563911438,0.6982586979866028
123,4587,0.6792452931404114,0.6061728000640869,,
124,4624,,,0.6712328791618347,0.6786984205245972
