epoch,step,train_acc,train_loss,val_acc,val_loss
0,36,,,0.42465752363204956,0.9221665859222412
0,36,0.5334476828575134,0.7886725664138794,,
1,73,,,0.5479452013969421,0.7372642159461975
1,73,0.4974271059036255,0.7692546844482422,,
2,110,,,0.5479452013969421,0.6710535883903503
2,110,0.5694682598114014,0.7085995078086853,,
3,147,,,0.5616438388824463,0.7078486680984497
3,147,0.5574613809585571,0.7072030305862427,,
4,184,,,0.5753424763679504,0.7023224234580994
4,184,0.5557461380958557,0.7122985124588013,,
5,221,,,0.5753424763679504,0.6996093988418579
5,221,0.5866209268569946,0.68941330909729,,
6,258,,,0.6027397513389587,0.6826722621917725
6,258,0.5746140480041504,0.6958983540534973,,
7,295,,,0.5479452013969421,0.7694810628890991
7,295,0.5677530169487,0.6832071542739868,,
8,332,,,0.5068492889404297,0.7626104950904846
8,332,0.5540308952331543,0.7009129524230957,,
9,369,,,0.5068492889404297,0.6804100871086121
9,369,0.5214408040046692,0.7246255874633789,,
10,406,,,0.5205479264259338,0.7027906775474548
10,406,0.5934820175170898,0.6994467973709106,,
11,443,,,0.465753436088562,0.7313683032989502
11,443,0.5934820175170898,0.6761831045150757,,
12,480,,,0.5753424763679504,0.6877027750015259
12,480,0.6123499274253845,0.6776809096336365,,
13,517,,,0.5753424763679504,0.7170892357826233
13,517,0.6260720491409302,0.6634209156036377,,
14,554,,,0.534246563911438,0.7527152299880981
14,554,0.6569468379020691,0.6407281756401062,,
15,591,,,0.5205479264259338,0.7536947727203369
15,591,0.6535162925720215,0.6459529995918274,,
16,628,,,0.5205479264259338,0.7436779737472534
16,628,0.6655231714248657,0.6382325291633606,,
17,665,,,0.465753436088562,0.7708632349967957
17,665,0.6689537167549133,0.6347225308418274,,
18,702,,,0.42465752363204956,0.859660267829895
18,702,0.6535162925720215,0.6354442834854126,,
19,739,,,0.465753436088562,0.8193382024765015
19,739,0.6552315354347229,0.6512698531150818,,
20,776,,,0.4931506812572479,0.80411696434021
20,776,0.687821626663208,0.614680826663971,,
21,813,,,0.4794520437717438,0.8878656625747681
21,813,0.7255574464797974,0.5934066772460938,,
22,850,,,0.42465752363204956,1.2037104368209839
22,850,0.7564322352409363,0.5618086457252502,,
23,887,,,0.42465752363204956,1.2692599296569824
23,887,0.7770154476165771,0.521379292011261,,
24,924,,,0.4109589159488678,1.1749697923660278
24,924,0.8096054792404175,0.4972390830516815,,
25,961,,,0.4109589159488678,1.2184268236160278
25,961,0.8147512674331665,0.47497156262397766,,
26,998,,,0.42465752363204956,1.207083821296692
26,998,0.8181818127632141,0.48464351892471313,,
27,1035,,,0.4383561611175537,1.110887885093689
27,1035,0.8181818127632141,0.46965473890304565,,
28,1072,,,0.465753436088562,1.1746387481689453
28,1072,0.7735849022865295,0.515264630317688,,
29,1109,,,0.4109589159488678,1.2314753532409668
29,1109,0.7855917811393738,0.5063558220863342,,
30,1146,,,0.4383561611175537,1.334790825843811
30,1146,0.802744448184967,0.48380106687545776,,
31,1183,,,0.3835616409778595,1.4996987581253052
31,1183,0.8456260561943054,0.4503401517868042,,
32,1220,,,0.45205479860305786,1.1729700565338135
32,1220,0.8456260561943054,0.4382025897502899,,
33,1257,,,0.4794520437717438,1.3062800168991089
33,1257,0.9142367243766785,0.36660441756248474,,
34,1294,,,0.45205479860305786,1.307472825050354
34,1294,0.8970840573310852,0.3771587014198303,,
35,1331,,,0.4383561611175537,1.3061470985412598
35,1331,0.9228130578994751,0.34489428997039795,,
36,1368,,,0.45205479860305786,1.308972954750061
36,1368,0.9125214219093323,0.3505200743675232,,
37,1405,,,0.4931506812572479,1.3294765949249268
37,1405,0.9159519672393799,0.3429580330848694,,
38,1442,,,0.4383561611175537,1.609005093574524
38,1442,0.9125214219093323,0.3527134656906128,,
39,1479,,,0.4794520437717438,2.3413939476013184
39,1479,0.9056603908538818,0.3754108250141144,,
40,1516,,,0.4931506812572479,1.7561551332473755
40,1516,0.8867924809455872,0.3867347240447998,,
41,1553,,,0.4931506812572479,1.4732284545898438
41,1553,0.8833619356155396,0.38685670495033264,,
42,1590,,,0.3835616409778595,1.5048975944519043
42,1590,0.9142367243766785,0.36114877462387085,,
43,1627,,,0.4383561611175537,1.5660024881362915
43,1627,0.9382504224777222,0.3133934438228607,,
44,1664,,,0.4109589159488678,1.4232244491577148
44,1664,0.9451115131378174,0.2965041995048523,,
45,1701,,,0.42465752363204956,1.4360347986221313
45,1701,0.9742709994316101,0.2769187092781067,,
46,1738,,,0.42465752363204956,1.4347071647644043
46,1738,0.9759863018989563,0.27783364057540894,,
47,1775,,,0.42465752363204956,1.8052085638046265
47,1775,0.9365351796150208,0.30428096652030945,,
48,1812,,,0.4383561611175537,1.5509674549102783
48,1812,0.9554030895233154,0.28581589460372925,,
49,1849,,,0.45205479860305786,2.169687032699585
49,1849,0.958833634853363,0.2931729257106781,,
50,1886,,,0.465753436088562,1.5956127643585205
50,1886,0.9108061790466309,0.3442828953266144,,
51,1923,,,0.45205479860305786,1.7805248498916626
51,1923,0.9142367243766785,0.3449724316596985,,
52,1960,,,0.4383561611175537,1.5872353315353394
52,1960,0.9331046342849731,0.3175094723701477,,
53,1997,,,0.4794520437717438,1.5012354850769043
53,1997,0.9416809678077698,0.31322619318962097,,
54,2034,,,0.5068492889404297,1.500267505645752
54,2034,0.9656946659088135,0.28266504406929016,,
55,2071,,,0.465753436088562,1.5434175729751587
55,2071,0.9622641801834106,0.2860282063484192,,
56,2108,,,0.4794520437717438,1.5590144395828247
56,2108,0.9708404541015625,0.27802902460098267,,
57,2145,,,0.45205479860305786,1.5299729108810425
57,2145,0.9742709994316101,0.28289955854415894,,
58,2182,,,0.4794520437717438,1.948846697807312
58,2182,0.9691252112388611,0.2753332555294037,,
59,2219,,,0.465753436088562,1.9589180946350098
59,2219,0.9674099683761597,0.28250688314437866,,
60,2256,,,0.4794520437717438,2.284726858139038
60,2256,0.9485419988632202,0.3139808177947998,,
61,2293,,,0.4794520437717438,2.071653127670288
61,2293,0.9365351796150208,0.3180682957172394,,
62,2330,,,0.4931506812572479,1.5085759162902832
62,2330,0.9468267560005188,0.31478720903396606,,
63,2367,,,0.465753436088562,1.8800153732299805
63,2367,0.9519725441932678,0.3232100009918213,,
64,2404,,,0.45205479860305786,1.544262409210205
64,2404,0.9674099683761597,0.29640406370162964,,
65,2441,,,0.465753436088562,1.6812697649002075
65,2441,0.9708404541015625,0.2933162748813629,,
66,2478,,,0.465753436088562,1.70757257938385
66,2478,0.989708423614502,0.26623430848121643,,
67,2515,,,0.4794520437717438,1.696139931678772
67,2515,0.9828473329544067,0.2850089371204376,,
68,2552,,,0.5068492889404297,1.7700268030166626
68,2552,0.9639794230461121,0.2812340557575226,,
69,2589,,,0.45205479860305786,1.8435572385787964
69,2589,0.9845626354217529,0.27640900015830994,,
70,2626,,,0.5205479264259338,2.2625486850738525
70,2626,0.9554030895233154,0.30906549096107483,,
71,2663,,,0.5068492889404297,1.4854621887207031
71,2663,0.9639794230461121,0.3044063448905945,,
72,2700,,,0.4109589159488678,1.9218800067901611
72,2700,0.9348198771476746,0.330135703086853,,
73,2737,,,0.4931506812572479,1.6136960983276367
73,2737,0.9519725441932678,0.31768858432769775,,
74,2774,,,0.5205479264259338,1.5676594972610474
74,2774,0.9708404541015625,0.2973422408103943,,
75,2811,,,0.45205479860305786,1.6482813358306885
75,2811,0.9828473329544067,0.29975277185440063,,
76,2848,,,0.45205479860305786,1.6538039445877075
76,2848,0.9691252112388611,0.29188042879104614,,
77,2885,,,0.45205479860305786,1.6554381847381592
